date,close,volume,open,high,low
28/12/2018,156.23,41740600,157.5,158.52,154.55
27/12/2018,156.15,51608850,155.84,156.77,150.07
26/12/2018,157.17,58133850,148.3,157.23,146.72
24/12/2018,146.83,37169230,148.15,151.55,146.59
21/12/2018,150.73,95497900,156.86,158.16,149.63
20/12/2018,156.83,64398230,160.4,162.11,155.3
19/12/2018,160.89,47597670,166,167.45,159.09
18/12/2018,166.07,33753490,165.38,167.53,164.39
17/12/2018,163.94,43250420,165.45,168.35,162.73
14/12/2018,165.48,40620360,169,169.08,165.28
13/12/2018,170.95,31754210,170.49,172.57,169.55
12/12/2018,169.1,35474680,170.4,171.92,169.02
11/12/2018,168.63,45968040,171.66,171.79,167
10/12/2018,169.6,61759000,165,170.09,163.33
